origin_country,destination_country,course_name,field_of_study,year_of_enrollment,scholarship_received,enrollment_reason,graduation_year,placement_status,placement_country,starting_salary_usd,gpa_or_score,visa_status,post_graduation_visa,language_proficiency_test,test_score,placement_success
2,1,2,5,2020,1,0,2021,1,1,95883,2.52,1,2,1,8.0,1
1,8,0,5,2023,0,2,2024,0,10,0,2.53,4,2,1,8.4,0
8,6,8,2,2022,0,0,2024,0,10,0,2.78,2,1,1,8.4,0
0,2,0,2,2023,0,2,2024,0,10,0,3.66,1,3,3,7.6,0
0,5,0,4,2023,1,1,2025,0,10,0,2.93,3,2,0,6.6,0
0,2,4,0,2019,0,1,2020,1,2,91142,3.95,1,4,3,6.9,1
8,7,0,7,2022,0,2,2023,0,10,0,2.56,5,1,4,0.0,0
0,9,2,0,2019,1,4,2021,1,9,118790,3.7,0,4,4,0.0,1
8,3,12,6,2023,0,2,2024,0,10,0,3.57,3,1,3,6.9,0
8,0,14,2,2021,0,3,2022,1,0,38751,3.04,3,2,1,6.7,1
6,4,11,0,2019,1,4,2022,0,10,0,2.75,0,0,2,7.0,0
8,9,5,3,2021,1,4,2024,0,10,0,2.99,4,2,2,6.8,0
9,7,7,2,2021,1,2,2024,0,10,0,3.52,4,4,2,5.4,0
4,0,11,1,2022,0,2,2025,0,10,0,3.09,1,0,1,6.0,0
8,7,5,0,2020,1,0,2022,1,7,148864,2.95,4,3,1,7.8,1
5,6,0,1,2019,1,3,2021,1,6,144274,3.13,2,3,3,5.7,1
7,5,7,4,2022,1,0,2025,1,5,93628,3.06,4,4,0,5.3,1
0,8,13,3,2019,0,0,2020,0,10,0,2.84,1,3,3,8.2,0
5,2,10,1,2022,0,3,2025,1,2,122707,3.11,0,2,1,6.6,1
3,8,3,3,2019,0,0,2020,0,10,0,3.86,2,2,4,0.0,0
5,0,4,4,2019,0,1,2020,0,10,0,3.96,0,1,3,5.1,0
0,3,13,2,2022,0,0,2025,1,3,53915,3.3,5,3,4,0.0,1
6,5,10,1,2021,0,0,2023,1,5,101760,3.84,2,4,4,0.0,1
5,6,2,5,2022,1,4,2023,0,10,0,3.6,5,2,0,6.5,0
9,2,4,2,2021,0,2,2022,0,10,0,3.67,5,1,4,0.0,0
7,1,7,2,2022,0,0,2024,1,1,95764,3.95,3,1,4,0.0,1
4,5,3,2,2020,1,2,2021,0,10,0,3.62,1,4,0,6.1,0
9,5,3,5,2023,0,0,2024,0,10,0,3.64,2,1,1,8.9,0
3,8,13,6,2020,1,1,2022,1,8,108438,2.99,3,4,4,0.0,1
6,0,9,6,2019,0,3,2020,0,10,0,3.29,0,1,1,6.6,0
9,5,8,7,2022,0,2,2023,1,5,43628,2.56,1,4,1,6.8,1
1,0,14,0,2021,0,0,2024,1,0,55720,2.82,0,1,2,8.5,1
6,9,0,6,2021,0,0,2024,1,9,115221,3.58,1,2,2,5.7,1
5,0,11,5,2022,0,4,2023,0,10,0,3.96,1,0,4,0.0,0
4,6,10,3,2022,1,3,2023,1,6,134059,2.64,4,3,2,8.1,1
6,4,7,2,2019,0,1,2021,1,4,108629,3.41,3,3,2,8.9,1
7,5,7,5,2019,0,3,2021,0,10,0,3.01,5,4,0,5.3,0
0,7,12,0,2023,1,0,2024,0,10,0,3.56,2,0,1,6.2,0
5,6,2,5,2021,0,4,2024,0,10,0,2.8,0,4,3,8.5,0
8,5,10,1,2023,0,3,2024,0,10,0,3.78,5,2,4,0.0,0
5,2,13,6,2019,0,2,2021,1,2,135747,3.32,2,2,2,5.1,1
5,9,5,7,2020,1,0,2023,0,10,0,2.8,5,3,4,0.0,0
4,9,2,2,2021,1,1,2023,0,10,0,3.36,3,0,0,6.4,0
4,9,6,5,2020,1,4,2021,1,9,78099,3.09,3,0,4,0.0,1
8,3,10,0,2022,1,4,2025,1,3,110065,2.52,0,2,3,5.9,1
3,5,9,6,2022,1,2,2024,0,10,0,3.5,4,3,4,0.0,0
5,4,2,6,2022,1,3,2024,0,10,0,2.53,0,3,3,7.1,0
3,6,8,4,2023,1,0,2024,0,10,0,3.08,1,3,1,6.2,0
0,1,10,7,2020,0,4,2022,0,10,0,3.35,2,4,0,5.2,0
0,6,1,1,2019,0,4,2020,1,6,67650,3.2,4,3,1,7.4,1
4,7,1,7,2021,1,4,2023,1,7,75276,2.91,4,1,1,5.4,1
6,7,9,2,2020,1,0,2022,0,10,0,3.04,1,1,1,7.5,0
7,3,6,3,2023,0,0,2026,0,10,0,3.9,5,3,2,6.6,0
3,1,8,6,2021,0,0,2024,1,1,70828,3.45,1,1,2,6.6,1
0,6,2,6,2020,1,1,2022,1,6,82951,3.32,0,3,0,8.6,1
9,2,3,1,2021,1,4,2024,1,2,127376,3.47,0,2,1,7.4,1
5,9,8,4,2020,0,0,2021,0,10,0,3.94,1,4,2,8.4,0
4,0,10,1,2021,0,3,2022,1,0,79273,3.39,1,2,4,0.0,1
1,0,4,7,2020,1,2,2023,1,0,34440,3.04,0,1,4,0.0,1
2,6,7,6,2019,0,2,2020,1,6,138169,3.62,4,1,1,6.2,1
4,0,4,1,2022,1,0,2024,0,10,0,2.95,4,1,1,6.2,0
4,1,4,3,2022,0,4,2024,0,10,0,3.94,2,0,2,8.4,0
2,1,7,7,2019,1,0,2022,1,1,124149,2.79,4,1,4,0.0,1
9,2,13,0,2019,1,3,2020,1,2,38986,3.15,0,1,3,7.8,1
6,9,3,2,2023,1,3,2024,1,9,110814,3.35,2,4,2,8.3,1
0,4,6,2,2023,0,2,2024,1,4,121323,3.03,0,3,2,7.6,1
5,8,5,1,2022,1,0,2024,0,10,0,3.62,3,1,4,0.0,0
8,0,6,5,2020,1,3,2023,0,10,0,3.76,3,0,1,5.7,0
3,1,14,3,2021,0,1,2024,0,10,0,2.8,4,3,0,7.8,0
7,9,14,5,2022,1,4,2023,1,9,68049,2.91,3,4,4,0.0,1
6,1,4,2,2020,1,0,2022,1,1,64192,3.73,0,1,1,8.8,1
8,2,4,0,2020,0,0,2021,1,2,44855,2.69,4,4,4,0.0,1
3,5,13,3,2023,1,2,2026,0,10,0,2.91,3,1,3,7.6,0
0,9,9,4,2020,0,4,2023,1,9,67590,2.72,5,4,2,7.5,1
9,4,4,5,2022,0,3,2023,0,10,0,2.99,2,4,3,8.0,0
4,7,6,1,2019,0,2,2022,0,10,0,2.67,2,1,0,7.0,0
8,7,14,3,2022,0,3,2025,0,10,0,3.96,3,3,3,7.0,0
1,7,9,3,2019,1,3,2021,1,7,41677,2.74,2,4,0,8.0,1
0,1,13,6,2021,0,1,2022,0,10,0,2.94,3,0,0,6.9,0
4,3,1,0,2023,0,4,2025,0,10,0,2.71,0,4,1,8.1,0
3,8,14,5,2022,0,1,2025,1,8,90975,3.25,0,2,2,5.9,1
3,8,9,1,2019,0,4,2022,1,8,91411,3.93,2,4,0,7.0,1
8,2,8,1,2019,1,0,2022,0,10,0,2.56,4,0,3,6.3,0
0,6,14,5,2023,1,2,2026,0,10,0,2.9,1,1,1,8.7,0
5,7,2,4,2023,1,4,2026,0,10,0,2.93,4,2,0,8.7,0
2,9,5,6,2020,0,3,2022,0,10,0,3.38,5,3,4,0.0,0
3,8,6,5,2020,1,0,2023,0,10,0,3.1,3,0,1,7.3,0
2,4,7,1,2020,0,3,2022,0,10,0,3.69,5,2,4,0.0,0
9,7,10,5,2023,0,1,2025,0,10,0,2.62,3,1,1,5.9,0
7,1,13,0,2022,1,0,2023,0,10,0,3.94,2,3,3,7.9,0
7,4,5,3,2020,1,2,2022,1,4,42368,3.07,2,0,2,6.7,1
1,4,11,5,2019,1,0,2022,1,4,114437,2.82,0,1,3,5.3,1
0,9,3,7,2020,1,2,2021,0,10,0,3.32,1,4,0,7.6,0
4,1,13,3,2022,1,4,2024,1,1,58881,3.53,0,2,4,0.0,1
9,1,0,6,2022,1,3,2025,1,1,39175,2.71,1,2,2,5.4,1
5,0,10,6,2021,0,3,2022,1,0,79074,3.99,4,4,2,7.1,1
7,2,9,4,2019,1,3,2022,1,2,109737,3.5,0,4,1,7.1,1
0,6,10,6,2022,0,2,2023,0,10,0,3.2,2,0,3,6.9,0
5,8,4,7,2022,1,0,2025,0,10,0,3.93,0,4,1,5.9,0
2,0,3,2,2019,0,1,2022,1,0,48489,2.75,4,4,2,5.4,1
7,9,4,7,2023,0,4,2026,0,10,0,2.55,4,2,2,6.0,0
6,0,3,2,2021,0,4,2024,0,10,0,3.52,5,4,3,6.0,0
0,8,1,1,2022,1,3,2025,1,8,93784,3.15,3,2,3,7.2,1
1,9,0,4,2022,0,4,2023,0,10,0,2.99,3,4,1,6.6,0
4,6,4,5,2022,1,1,2025,1,6,116208,2.8,5,2,1,5.4,1
3,6,8,6,2021,0,0,2023,0,10,0,3.21,5,3,2,8.5,0
8,7,0,3,2023,1,1,2026,1,7,44467,2.59,5,2,2,7.3,1
5,4,10,0,2021,0,3,2024,1,4,144348,3.69,0,1,1,7.2,1
7,6,14,0,2019,0,3,2020,1,6,49449,3.24,2,3,1,5.8,1
9,3,13,6,2019,0,4,2022,0,10,0,3.56,5,3,3,5.7,0
5,0,2,4,2020,0,3,2021,0,10,0,3.87,5,1,2,7.0,0
5,2,11,1,2021,0,0,2022,1,2,109185,3.9,5,3,2,8.7,1
2,3,2,4,2021,0,1,2022,1,3,115740,2.51,2,3,0,7.6,1
9,8,3,3,2019,0,0,2022,0,10,0,2.8,2,4,4,0.0,0
3,5,0,2,2023,1,0,2026,0,10,0,2.87,4,4,4,0.0,0
4,5,9,4,2020,1,0,2022,0,10,0,2.81,3,1,0,5.4,0
8,2,0,2,2022,0,4,2023,0,10,0,3.6,5,0,0,6.0,0
3,8,9,5,2023,0,4,2025,1,8,66577,2.98,3,2,4,0.0,1
2,7,7,1,2023,1,0,2025,1,7,58502,3.46,3,3,3,7.6,1
3,8,9,4,2021,1,3,2022,0,10,0,2.74,4,1,3,5.8,0
8,0,12,2,2020,1,4,2021,1,0,53226,3.73,3,0,0,5.3,1
4,9,10,0,2022,1,4,2023,1,9,84977,3.35,0,1,0,7.3,1
6,1,3,5,2022,0,3,2023,1,1,55992,3.7,3,3,2,5.7,1
1,7,13,5,2023,0,0,2025,0,10,0,2.76,2,2,3,8.6,0
2,9,7,4,2023,0,0,2026,1,9,144282,3.89,4,4,4,0.0,1
7,6,5,0,2022,0,4,2023,1,6,141729,3.08,1,2,2,7.0,1
6,8,2,5,2022,0,3,2023,0,10,0,3.36,4,3,1,5.8,0
2,1,9,6,2020,1,4,2023,1,1,53234,2.58,1,3,2,6.8,1
2,7,5,2,2021,0,4,2023,1,7,123063,3.13,2,4,4,0.0,1
1,2,3,1,2020,0,3,2022,1,2,109324,3.02,1,3,4,0.0,1
5,2,0,3,2020,0,1,2023,0,10,0,3.32,3,1,2,6.2,0
4,5,13,1,2020,0,2,2023,0,10,0,3.13,5,1,0,6.4,0
0,4,8,0,2023,1,4,2026,0,10,0,3.65,2,1,3,7.9,0
7,4,10,1,2021,0,1,2024,1,4,119644,3.66,0,0,2,8.3,1
1,9,14,3,2019,1,0,2020,0,10,0,2.79,3,4,3,8.2,0
9,7,2,6,2022,0,3,2024,0,10,0,3.93,1,1,2,5.4,0
2,5,11,6,2022,1,3,2025,0,10,0,3.11,1,1,4,0.0,0
4,0,0,7,2021,0,1,2022,1,0,61457,3.57,2,2,4,0.0,1
3,9,5,5,2019,1,2,2022,0,10,0,3.76,5,3,0,7.3,0
8,1,11,0,2022,1,2,2023,1,1,121957,3.37,1,3,4,0.0,1
3,1,6,6,2022,0,0,2023,0,10,0,3.98,0,1,1,5.7,0
7,1,5,1,2023,1,1,2026,0,10,0,3.39,1,0,4,0.0,0
5,7,14,5,2022,0,4,2025,1,7,42918,3.37,1,3,4,0.0,1
4,9,6,3,2021,1,1,2024,1,9,63266,2.76,1,0,2,7.7,1
2,4,4,4,2022,0,0,2023,1,4,118673,3.18,5,0,3,5.4,1
2,9,6,4,2023,0,1,2024,1,9,82811,3.74,2,2,1,7.3,1
6,0,6,2,2020,1,4,2022,0,10,0,2.59,1,1,4,0.0,0
1,7,8,1,2019,0,1,2022,0,10,0,2.57,2,3,2,5.7,0
9,6,11,5,2021,1,3,2023,1,6,56913,3.78,1,4,0,7.2,1
6,0,1,5,2023,1,1,2026,0,10,0,2.65,2,1,0,7.0,0
7,2,11,3,2020,1,3,2021,0,10,0,3.1,2,1,4,0.0,0
3,2,12,7,2020,0,1,2023,1,2,45723,2.72,4,3,3,6.2,1
8,3,9,0,2023,1,3,2026,0,10,0,3.5,3,0,1,5.1,0
2,5,13,4,2023,0,0,2024,0,10,0,2.74,1,1,2,8.9,0
0,2,5,3,2021,0,1,2022,0,10,0,3.53,5,4,2,7.7,0
2,9,0,1,2022,1,3,2024,0,10,0,3.86,0,0,2,8.6,0
6,8,6,0,2019,1,0,2020,0,10,0,3.77,3,3,1,8.0,0
5,7,1,5,2021,1,3,2023,0,10,0,2.85,2,4,4,0.0,0
6,3,1,3,2020,1,4,2022,1,3,73069,3.44,1,0,0,6.5,1
0,6,14,4,2023,0,4,2026,0,10,0,2.66,0,3,2,8.8,0
6,0,7,7,2022,0,1,2024,1,0,142658,2.81,3,1,1,8.2,1
9,7,6,0,2022,0,1,2025,0,10,0,3.36,0,4,0,5.6,0
2,7,5,2,2020,0,2,2021,0,10,0,3.76,2,1,0,6.8,0
3,5,4,6,2022,1,3,2025,1,5,67209,3.96,2,2,3,8.8,1
7,0,9,1,2021,0,0,2022,0,10,0,3.88,1,0,2,8.4,0
4,1,11,4,2020,0,3,2021,1,1,88789,3.4,5,2,0,9.0,1
8,9,14,5,2019,0,1,2021,1,9,102757,2.83,4,1,1,7.5,1
9,2,6,3,2023,1,4,2024,0,10,0,3.65,0,0,2,6.5,0
7,6,13,7,2023,1,2,2026,1,6,52026,3.32,5,2,4,0.0,1
3,1,0,0,2023,1,3,2025,0,10,0,3.56,5,2,4,0.0,0
9,8,0,0,2021,0,3,2023,0,10,0,2.76,0,4,1,6.2,0
2,5,5,1,2023,1,4,2024,0,10,0,3.37,3,0,1,8.3,0
9,4,14,2,2023,1,3,2024,1,4,48503,2.71,2,2,4,0.0,1
0,4,7,1,2020,0,1,2023,1,4,119559,3.09,4,4,4,0.0,1
9,4,13,2,2021,0,4,2023,0,10,0,3.22,2,3,1,9.0,0
8,7,1,6,2020,1,3,2022,0,10,0,3.83,2,4,4,0.0,0
0,6,5,0,2022,1,1,2025,1,6,66598,2.65,3,0,2,6.6,1
8,3,6,0,2022,1,3,2024,0,10,0,3.0,0,0,3,5.8,0
7,5,2,0,2019,0,2,2020,1,5,57986,3.06,4,2,0,6.0,1
6,5,11,3,2021,1,4,2023,0,10,0,3.16,0,4,3,7.5,0
5,8,9,6,2023,1,4,2026,0,10,0,3.66,4,0,3,6.2,0
3,4,4,5,2023,0,2,2024,1,4,99469,2.86,3,0,1,5.1,1
0,7,14,5,2021,1,3,2023,1,7,144396,2.62,5,3,1,7.6,1
9,3,1,1,2020,0,1,2022,0,10,0,2.99,0,3,4,0.0,0
9,7,3,4,2019,1,2,2022,1,7,70173,2.93,1,3,0,8.5,1
8,6,7,6,2023,0,1,2024,0,10,0,2.71,0,2,2,8.8,0
7,8,8,2,2020,1,3,2022,1,8,62522,2.91,5,1,3,5.4,1
4,1,10,4,2020,0,4,2023,0,10,0,3.1,4,2,2,5.6,0
9,7,5,0,2023,1,3,2024,0,10,0,3.53,5,1,3,8.1,0
6,1,2,4,2023,1,0,2024,0,10,0,3.29,5,3,1,5.2,0
0,9,12,5,2021,1,0,2024,0,10,0,3.37,1,1,4,0.0,0
3,7,10,6,2019,0,4,2020,0,10,0,3.38,1,0,3,5.9,0
9,4,5,5,2023,1,3,2025,1,4,147040,2.67,2,4,1,6.3,1
4,0,3,5,2021,1,3,2024,1,0,111022,3.84,2,3,3,7.6,1
8,9,10,1,2022,0,1,2025,0,10,0,2.51,5,1,0,8.4,0
2,5,13,2,2021,0,3,2022,1,5,80635,3.75,2,2,3,8.6,1
1,3,5,0,2019,0,3,2022,1,3,129881,3.97,5,2,3,6.1,1
0,5,5,1,2020,1,0,2023,0,10,0,2.87,2,1,2,5.7,0
2,4,1,4,2019,0,4,2020,1,4,51945,2.72,4,3,3,6.5,1
2,5,0,3,2023,0,0,2026,0,10,0,3.71,4,1,3,9.0,0
9,2,7,6,2020,1,0,2023,0,10,0,3.23,1,0,4,0.0,0
3,2,3,4,2020,1,1,2021,1,2,144736,3.52,2,2,0,6.3,1
6,2,4,5,2020,1,2,2022,0,10,0,3.74,5,3,1,7.5,0
8,1,12,0,2019,0,0,2022,0,10,0,3.7,5,4,0,7.5,0
9,6,14,5,2022,1,2,2024,0,10,0,3.34,4,3,4,0.0,0
5,4,8,2,2023,1,0,2024,0,10,0,2.84,0,2,4,0.0,0
8,7,9,0,2022,0,0,2024,1,7,110999,3.47,5,1,3,6.8,1
3,8,7,0,2019,0,1,2021,1,8,93385,3.43,2,2,3,8.6,1
2,5,14,4,2021,1,3,2023,0,10,0,3.92,5,3,0,6.0,0
8,7,0,7,2023,1,0,2026,0,10,0,2.94,4,2,0,8.9,0
7,0,13,4,2021,0,4,2022,1,0,97053,3.68,4,0,2,6.7,1
0,8,8,2,2022,0,3,2024,0,10,0,2.55,0,3,1,6.6,0
5,7,8,6,2020,1,4,2021,0,10,0,3.12,4,3,2,8.6,0
6,2,8,4,2020,0,2,2023,0,10,0,3.36,3,0,3,7.7,0
4,8,11,2,2021,1,0,2022,1,8,32185,3.68,2,3,4,0.0,1
0,9,14,7,2019,1,2,2021,1,9,119896,2.57,5,4,1,6.1,1
4,5,12,1,2023,0,3,2026,1,5,80654,3.01,3,4,0,7.3,1
3,9,12,6,2022,1,4,2025,1,9,85284,2.52,1,4,3,8.1,1
7,8,6,6,2021,1,0,2024,1,8,118441,3.78,5,4,3,6.9,1
2,7,8,1,2019,0,2,2022,0,10,0,2.76,3,3,4,0.0,0
7,0,2,7,2022,0,1,2025,1,0,113881,2.85,5,0,1,5.1,1
5,1,0,7,2022,1,0,2024,1,1,78765,3.82,2,3,4,0.0,1
6,9,6,6,2020,1,1,2021,1,9,142022,3.97,4,0,1,7.8,1
6,7,2,3,2022,0,2,2025,1,7,92481,2.59,5,1,0,8.1,1
9,5,0,3,2021,0,4,2024,1,5,74282,2.51,2,4,0,6.4,1
6,5,3,5,2022,1,4,2025,0,10,0,2.69,5,3,4,0.0,0
8,3,10,0,2023,1,3,2026,0,10,0,2.66,4,2,4,0.0,0
2,0,13,1,2019,1,4,2022,0,10,0,2.9,5,0,3,5.8,0
9,3,12,6,2022,1,2,2025,1,3,123994,3.55,5,0,1,7.4,1
5,6,12,3,2020,0,4,2022,1,6,148005,3.61,2,3,4,0.0,1
2,7,10,2,2020,0,2,2022,1,7,56099,3.21,4,0,0,5.7,1
7,3,11,6,2023,0,1,2026,1,3,51305,2.51,4,0,2,5.0,1
7,0,10,2,2022,0,3,2025,0,10,0,3.87,3,2,0,6.4,0
6,7,5,6,2020,0,0,2023,0,10,0,2.66,1,3,4,0.0,0
9,6,10,5,2022,1,1,2025,1,6,106076,2.72,1,1,3,5.1,1
5,4,13,6,2021,1,0,2024,1,4,36897,3.92,5,1,4,0.0,1
9,2,5,0,2022,1,2,2025,0,10,0,2.63,1,0,4,0.0,0
6,2,10,4,2023,0,3,2025,0,10,0,3.43,0,2,0,6.0,0
8,7,13,5,2019,1,4,2022,1,7,55643,2.95,4,2,1,5.3,1
0,2,14,2,2021,1,0,2023,0,10,0,3.27,5,4,1,6.3,0
5,1,7,6,2020,0,1,2023,0,10,0,2.51,4,4,1,7.3,0
2,7,5,1,2019,0,0,2020,1,7,148836,3.4,2,1,4,0.0,1
8,9,5,4,2023,1,3,2025,1,9,136900,2.63,3,1,3,5.3,1
1,6,4,4,2020,1,3,2022,0,10,0,3.07,5,4,3,8.1,0
9,2,5,4,2019,0,2,2020,1,2,104879,2.91,0,2,4,0.0,1
0,7,2,7,2022,1,2,2023,0,10,0,3.56,3,0,0,6.0,0
0,4,0,4,2021,1,0,2022,1,4,90084,3.66,1,4,2,6.5,1
0,9,1,2,2019,1,4,2020,1,9,114434,3.73,3,4,0,8.0,1
0,4,9,3,2023,1,2,2025,1,4,110192,2.88,0,2,0,8.7,1
7,6,7,7,2022,1,3,2023,1,6,93461,3.55,0,0,3,7.6,1
7,9,1,1,2022,1,4,2023,0,10,0,3.26,3,4,3,7.2,0
2,7,4,1,2019,0,1,2022,0,10,0,2.85,2,4,4,0.0,0
0,3,1,6,2020,1,0,2023,1,3,38461,2.62,1,4,3,8.0,1
1,4,3,2,2023,1,2,2025,0,10,0,3.99,1,1,3,8.7,0
8,2,7,3,2022,0,2,2025,1,2,57431,3.77,2,4,4,0.0,1
7,0,2,7,2019,0,2,2021,0,10,0,2.73,0,0,1,5.7,0
9,2,1,7,2022,0,0,2023,0,10,0,2.72,5,4,3,8.5,0
6,3,0,6,2022,0,2,2024,0,10,0,3.2,4,1,0,8.2,0
2,4,5,7,2021,1,3,2023,0,10,0,2.76,0,0,1,5.7,0
4,0,9,1,2019,1,0,2021,1,0,69688,3.32,2,3,3,5.9,1
7,5,8,4,2022,1,0,2023,1,5,35290,2.82,3,0,3,7.2,1
2,3,11,4,2022,1,3,2023,0,10,0,2.67,5,4,1,7.3,0
4,9,6,0,2023,1,1,2025,0,10,0,3.53,2,0,1,5.7,0
1,7,0,0,2021,0,0,2023,1,7,98605,3.84,3,2,4,0.0,1
9,7,13,3,2019,0,1,2021,0,10,0,3.64,1,4,2,6.5,0
1,3,10,3,2023,0,1,2026,0,10,0,2.57,1,4,2,5.5,0
1,0,9,6,2020,1,0,2023,1,0,138289,3.51,3,2,2,5.4,1
1,5,4,2,2020,1,2,2021,1,5,51734,3.74,5,3,3,8.5,1
1,3,2,4,2020,1,3,2022,1,3,144671,3.65,2,1,2,6.2,1
3,6,3,3,2023,0,1,2025,0,10,0,2.61,5,3,2,6.1,0
8,4,13,5,2020,1,4,2021,0,10,0,3.85,4,3,0,8.4,0
7,2,11,5,2020,0,3,2021,0,10,0,3.65,2,0,4,0.0,0
4,9,3,2,2021,1,0,2024,1,9,37081,3.65,5,1,4,0.0,1
9,3,11,1,2020,1,0,2021,1,3,81750,2.82,3,0,4,0.0,1
8,7,5,3,2019,0,3,2021,0,10,0,4.0,0,2,2,7.4,0
7,9,4,4,2022,1,4,2023,0,10,0,3.82,0,4,3,7.9,0
6,5,0,1,2023,1,0,2026,0,10,0,2.95,2,4,1,7.5,0
9,8,10,7,2022,1,1,2024,1,8,112007,2.65,2,1,4,0.0,1
0,4,3,2,2019,0,2,2022,0,10,0,4.0,2,3,1,5.7,0
9,0,8,4,2021,1,3,2022,1,0,83216,3.33,2,0,3,8.8,1
8,9,10,2,2021,1,4,2024,0,10,0,2.71,3,3,0,8.1,0
3,2,14,4,2019,1,2,2020,0,10,0,2.87,2,4,0,5.8,0
4,6,14,7,2021,1,3,2022,0,10,0,3.34,3,3,0,6.5,0
2,3,1,0,2020,1,3,2021,0,10,0,3.61,2,2,2,7.0,0
5,2,4,4,2023,0,1,2026,0,10,0,2.94,2,2,4,0.0,0
6,5,11,4,2022,1,0,2025,1,5,53332,3.6,4,4,2,5.9,1
9,7,6,6,2019,1,2,2020,0,10,0,3.16,0,2,3,6.3,0
2,5,12,4,2023,0,0,2026,1,5,79522,3.05,1,2,4,0.0,1
0,5,8,6,2022,0,0,2024,0,10,0,3.93,1,4,1,7.7,0
2,4,0,1,2019,0,4,2021,1,4,136825,3.34,3,4,0,8.8,1
7,3,5,6,2019,0,3,2022,1,3,53384,3.53,1,3,2,8.1,1
1,4,6,4,2022,0,3,2024,0,10,0,2.75,2,4,2,5.4,0
3,7,4,3,2021,1,3,2022,0,10,0,3.86,4,3,1,7.1,0
4,2,4,0,2023,1,2,2025,0,10,0,3.26,5,1,4,0.0,0
0,9,3,7,2019,0,1,2022,1,9,146115,3.24,2,1,1,9.0,1
5,4,2,1,2020,0,0,2022,0,10,0,3.07,4,0,4,0.0,0
4,6,9,3,2023,1,3,2026,1,6,121542,3.6,1,2,0,8.4,1
6,4,4,4,2019,1,4,2022,1,4,54010,3.44,4,1,0,5.4,1
1,6,7,0,2020,0,2,2023,1,6,113753,3.31,2,4,2,6.9,1
8,9,14,3,2019,1,0,2020,1,9,57154,2.92,2,1,4,0.0,1
0,2,2,3,2019,0,1,2021,0,10,0,3.42,5,4,0,5.0,0
5,9,12,6,2019,0,1,2022,0,10,0,3.8,2,0,3,8.2,0
3,4,7,2,2021,1,4,2023,1,4,141900,3.01,0,1,1,6.9,1
5,8,10,3,2023,1,2,2026,0,10,0,2.97,2,2,0,5.8,0
9,6,0,2,2019,1,3,2021,0,10,0,3.13,4,2,3,7.4,0
5,2,1,6,2023,1,1,2026,0,10,0,2.87,2,4,2,6.6,0
4,0,2,7,2021,1,1,2022,1,0,136127,3.85,3,1,1,7.2,1
5,9,3,5,2023,0,1,2025,1,9,90341,3.37,5,3,1,7.6,1
8,4,10,1,2022,1,3,2023,0,10,0,3.6,3,2,2,7.5,0
9,5,8,0,2023,1,0,2025,0,10,0,2.94,1,2,2,5.8,0
0,5,10,2,2022,0,1,2024,1,5,33392,3.57,3,1,1,6.7,1
4,7,5,4,2019,0,2,2021,0,10,0,3.26,1,2,3,6.3,0
4,8,5,4,2019,0,1,2021,1,8,84385,4.0,4,2,3,6.3,1
1,5,14,2,2021,1,0,2023,0,10,0,2.56,1,1,0,6.2,0
0,7,2,6,2019,1,3,2020,0,10,0,2.52,2,0,2,8.0,0
6,3,4,4,2021,1,4,2023,0,10,0,2.51,2,2,1,8.7,0
8,0,6,0,2022,1,1,2024,1,0,148118,3.29,0,3,0,8.1,1
3,1,10,4,2023,0,1,2026,0,10,0,3.32,3,2,4,0.0,0
2,3,13,5,2019,0,1,2022,1,3,119743,3.39,2,2,3,5.3,1
2,1,6,0,2023,1,2,2025,1,1,146523,3.69,4,4,0,5.8,1
9,0,5,2,2022,0,0,2024,1,0,58669,3.18,2,3,0,7.4,1
6,8,7,0,2020,1,2,2023,0,10,0,3.24,4,1,4,0.0,0
2,8,9,7,2020,0,1,2022,0,10,0,3.6,1,4,2,6.1,0
2,6,5,6,2023,1,0,2025,1,6,53283,3.88,5,3,3,8.1,1
5,6,7,1,2022,0,3,2025,1,6,46942,2.7,1,3,2,5.7,1
8,5,3,1,2022,0,3,2023,0,10,0,3.46,5,0,4,0.0,0
1,3,11,0,2021,0,2,2023,0,10,0,2.76,3,4,0,8.8,0
9,5,2,5,2019,1,1,2020,1,5,107944,3.37,4,2,1,5.5,1
3,5,4,1,2023,1,2,2025,1,5,145455,3.0,0,3,4,0.0,1
1,0,6,3,2019,1,0,2021,0,10,0,3.76,5,4,3,7.8,0
3,8,7,6,2021,1,2,2024,1,8,75713,3.38,1,1,2,5.2,1
6,7,8,5,2022,1,4,2024,0,10,0,2.89,3,0,4,0.0,0
1,0,8,6,2022,1,2,2023,0,10,0,2.97,0,3,2,5.7,0
6,0,1,3,2023,0,0,2026,1,0,91709,3.6,2,1,0,6.0,1
0,2,10,4,2019,1,1,2020,1,2,106485,3.92,1,0,3,8.5,1
7,3,1,5,2019,1,0,2021,0,10,0,3.68,1,3,3,7.1,0
3,7,0,0,2023,0,3,2026,1,7,61901,3.89,2,4,4,0.0,1
9,4,14,0,2023,1,4,2026,0,10,0,2.96,5,1,2,5.7,0
4,3,3,5,2020,0,0,2022,0,10,0,3.32,1,3,3,6.8,0
9,8,5,0,2022,1,1,2023,0,10,0,3.11,2,2,0,7.1,0
0,3,12,7,2019,0,3,2020,1,3,30885,3.15,2,0,3,6.3,1
9,4,13,0,2023,0,3,2024,1,4,70800,3.26,3,2,1,7.8,1
5,7,3,2,2023,1,1,2026,0,10,0,3.27,3,0,3,7.9,0
